business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Tata Green Batteries - Karmakar Auto Electric,Car and Bike Battery Dealer,Battery Store,"Battery Store, Battery Manufacturer, Battery Wholesaler, Car battery store",741102,West Bengal Circle,Kolkata Region,Nadia North Division,"Saktinagar SO, Bhatjangla BO, Dogachhi BO",+91 88799 84303,https://stores.tatagreenbattery.com/tata-green-batteries-karmakar-auto-electric-battery-store-tehatta-nadia-309490/Home?utm_source=locator&utm_medium=googleplaces,,,"Ground Floor, Thatta High School, More, Tehatta, West Bengal 741160",741102,23.7295581,88.5299428,ChIJ9y6NUMw_-TkRbAFrVN0KErQ,https://www.google.com/maps/place/?q=place_id:ChIJ9y6NUMw_-TkRbAFrVN0KErQ,part_331,2026-09-20 20:21:51,20425
Exide battery showroom,Car and Bike Battery Dealer,Battery Store,"Battery Store, Battery Wholesaler",741103,West Bengal Circle,Kolkata Region,Nadia North Division,"Ghurni SO, Berij BO, Bhanderkhola BO",+91 89264 13063,N/A,5.0,3.0,"J97X+GW7, Bethuadahari, West Bengal 741126",741103,23.6138017,88.3999383,ChIJr1OUSQAR-TkRHryMFfLa3g0,https://www.google.com/maps/place/?q=place_id:ChIJr1OUSQAR-TkRHryMFfLa3g0,part_331,2026-09-20 20:22:26,23128
Biswas Automobile,Car and Bike Battery Dealer,Auto parts store,Auto parts store,741103,West Bengal Circle,Kolkata Region,Nadia North Division,"Ghurni SO, Berij BO, Bhanderkhola BO",N/A,N/A,4.3,4.0,"GF32+HMM, Dhubulia, Gabarkuli, West Bengal 741140",741103,23.503975,88.4516842,ChIJc8r66_oZ-TkRLhgxX3JUH3o,https://www.google.com/maps/place/?q=place_id:ChIJc8r66_oZ-TkRLhgxX3JUH3o,part_331,2026-09-20 20:22:26,23129
Exide Care - Pora Ma Auto Electric,Car and Bike Battery Dealer,Car battery store,"Car battery store, Battery Wholesaler, Battery Store",741103,West Bengal Circle,Kolkata Region,Nadia North Division,"Ghurni SO, Berij BO, Bhanderkhola BO",+91 80 6982 8090,https://stores.exidecare.com/exide-care-pora-ma-auto-electric-battery-store-nadia-bardhaman-188646/Home?utm_source=locator&utm_medium=googleplaces,2.0,3.0,"Hamayatpur More, 1, B D O Office Rd, near Purbasli, Hematpur, Bardhaman, Kobla, West Bengal 713519",Hematpur,23.394168699999998,88.3486604,ChIJH663gpUd-TkRVU4_8jcTT3M,https://www.google.com/maps/place/?q=place_id:ChIJH663gpUd-TkRVU4_8jcTT3M,part_331,2026-09-20 20:22:26,23130
Best Auto Service,Car and Bike Battery Dealer,Battery Manufacturer,Battery Manufacturer,741103,West Bengal Circle,Kolkata Region,Nadia North Division,"Ghurni SO, Berij BO, Bhanderkhola BO",+91 92332 45679,https://youtube.com/@abhijitdas8701,4.0,25.0,"more, Basak para, 2no Malo Para Ln, Prachin Mayapur, Rudrapara P, West Bengal 741302",Prachin Mayapur,23.4191415,88.3734751,ChIJt-A42ocd-TkROsZE5nFzOTI,https://www.google.com/maps/place/?q=place_id:ChIJt-A42ocd-TkROsZE5nFzOTI,part_331,2026-09-20 20:22:26,23131
MayankRiddhi E-Auto Care,Car and Bike Battery Dealer,Car repair and maintenance service,"Car repair and maintenance service, Auto electrical service, Auto parts store, Battery Store",741103,West Bengal Circle,Kolkata Region,Nadia North Division,"Ghurni SO, Berij BO, Bhanderkhola BO",+91 81004 42523,N/A,4.8,13.0,"On State Highway 6, Nadabghat, Vidyanagar More, Jahannagar, Vidyanagar, West Bengal 713513","Nadabghat, Vidyanagar More",23.4145827,88.3295065,ChIJRSWdupgd-TkRBvC4L042puA,https://www.google.com/maps/place/?q=place_id:ChIJRSWdupgd-TkRBvC4L042puA,part_331,2026-09-20 20:22:26,23132
Tata green battery & Maa Durga Auto Electric,Car and Bike Battery Dealer,Battery Store,"Battery Store, Mechanic",741103,West Bengal Circle,Kolkata Region,Nadia North Division,"Ghurni SO, Berij BO, Bhanderkhola BO",+91 82400 79320,https://www.tatagreenbattery.com/,3.7,6.0,"Nh-2, near B. D. Kata, Dankuni, West Bengal 712310","Monoharpur, Gobra",22.6901689,88.2922566,ChIJPVjGCbaD-DkRK0s14ZklTFs,https://www.google.com/maps/place/?q=place_id:ChIJPVjGCbaD-DkRK0s14ZklTFs,part_331,2026-09-20 20:22:26,23133
Tata Green Batteries - Shiva Wheels Pvt Ltd,Car and Bike Battery Dealer,Car battery store,"Car battery store, Battery Manufacturer, Battery Wholesaler, Battery Store",741103,West Bengal Circle,Kolkata Region,Nadia North Division,"Ghurni SO, Berij BO, Bhanderkhola BO",+91 1800 419 8888,https://stores.tatagreenbattery.com/tata-green-batteries-shiva-wheels-pvt-ltd-battery-store-rathala-kolkata-309517/Home?utm_source=locator&utm_medium=googleplaces,,,"17, Barrackpore Trunk Rd, Rathtala, Santhi Nagra Colony, Belghoria, Kolkata, West Bengal 700056","Rathtala, Santhi Nagra Colony, Belghoria",22.6650132,88.3763036,ChIJv-wRH92d-DkRn_pUsYyW9zk,https://www.google.com/maps/place/?q=place_id:ChIJv-wRH92d-DkRn_pUsYyW9zk,part_331,2026-09-20 20:22:26,23134
Exide Care - Suman Battery Centre,Car and Bike Battery Dealer,Battery Store,"Battery Store, Battery Wholesaler, Car battery store",741103,West Bengal Circle,Kolkata Region,Nadia North Division,"Ghurni SO, Berij BO, Bhanderkhola BO",+91 80 6915 6821,https://stores.exidecare.com/exide-care-suman-battery-centre-battery-store-jessore-road-habra-165260/Home?utm_source=locator&utm_medium=googleplaces,5.0,,"No 1, Rail Gate, Jessore Rd, near Bharat Petroleum, Habra, West Bengal 743268",741103,22.8396948,88.6523557,ChIJBb4yACm1-DkR15jsf7pRQrs,https://www.google.com/maps/place/?q=place_id:ChIJBb4yACm1-DkR15jsf7pRQrs,part_331,2026-09-20 20:22:27,23135
S.S.SYNDICATE,Car and Bike Battery Dealer,Battery Store,Battery Store,741103,West Bengal Circle,Kolkata Region,Nadia North Division,"Ghurni SO, Berij BO, Bhanderkhola BO",+91 99337 27107,N/A,4.7,,"7RMR+J88, Karimpur, Nalhati, West Bengal 731220",741103,24.2840417,87.8408305,ChIJjd3zT28Y-jkRLJDh0hADx5Q,https://www.google.com/maps/place/?q=place_id:ChIJjd3zT28Y-jkRLJDh0hADx5Q,part_331,2026-09-20 20:22:27,23136
Exide Battery Shop Power House,Car and Bike Battery Dealer,Battery Store,Battery Store,741103,West Bengal Circle,Kolkata Region,Nadia North Division,"Ghurni SO, Berij BO, Bhanderkhola BO",+91 98755 84137,N/A,4.5,,"Makaltala Road South, Joypur, Liluah, Howrah, Jaypur Bil, West Bengal 711227","Joypur, Liluah",22.6448911,88.3120374,ChIJI-TD8kqD-DkRLGr4fHrJnHI,https://www.google.com/maps/place/?q=place_id:ChIJI-TD8kqD-DkRLGr4fHrJnHI,part_331,2026-09-20 20:22:28,23137
Joyco Battery,Car and Bike Battery Dealer,Car battery store,"Car battery store, Battery Manufacturer, Battery Wholesaler, Battery Store, Electronics manufacturer",741103,West Bengal Circle,Kolkata Region,Nadia North Division,"Ghurni SO, Berij BO, Bhanderkhola BO",+91 94342 04761,N/A,4.8,,"Bowbazar, Jalpaiguri, West Bengal 735101",Bowbazar,26.513658699999997,88.7176252,ChIJgXYlXo555DkRuUvJUWNZvDY,https://www.google.com/maps/place/?q=place_id:ChIJgXYlXo555DkRuUvJUWNZvDY,part_331,2026-09-20 20:22:28,23138
Calcutta Battery,Car and Bike Battery Dealer,Battery Store,Battery Store,741103,West Bengal Circle,Kolkata Region,Nadia North Division,"Ghurni SO, Berij BO, Bhanderkhola BO",N/A,N/A,4.3,,"7V8R+FF3, Tamluk Srirampur Rd, Nimtouri, West Bengal 721649",741103,22.2661497,87.8911816,ChIJkRW-6hiVAjoRPmM-LWdVqvI,https://www.google.com/maps/place/?q=place_id:ChIJkRW-6hiVAjoRPmM-LWdVqvI,part_331,2026-09-20 20:22:28,23139
Exide Care - Tripti Battery,Car and Bike Battery Dealer,Car battery store,"Car battery store, Battery Manufacturer, Battery Wholesaler, Battery Store, Electronics manufacturer",741103,West Bengal Circle,Kolkata Region,Nadia North Division,"Ghurni SO, Berij BO, Bhanderkhola BO",+91 80 6179 0081,https://stores.exidecare.com/exide-care-tripti-battery-battery-store-belda-east-midnapore-185318/Home,4.9,,"Dantan Rd, near Dhannteri Medical Shop, East, Belda, Midnapore, West Bengal 721424",East,22.070235399999998,87.33746649999999,ChIJ513lIgE7HToR9E8I_XzoOiw,https://www.google.com/maps/place/?q=place_id:ChIJ513lIgE7HToR9E8I_XzoOiw,part_331,2026-09-20 20:22:28,23140
S.N.Battery Exide Care,Car and Bike Battery Dealer,Car battery store,"Car battery store, Battery Manufacturer, Battery Wholesaler, Battery Store, Electronics manufacturer",741103,West Bengal Circle,Kolkata Region,Nadia North Division,"Ghurni SO, Berij BO, Bhanderkhola BO",+91 98360 47206,N/A,4.1,,"120, Salkia School Rd, Salkia, Howrah, West Bengal 711106",Salkia,22.5957156,88.3460467,ChIJY9gSssN3AjoRZTOhHz1vYuk,https://www.google.com/maps/place/?q=place_id:ChIJY9gSssN3AjoRZTOhHz1vYuk,part_331,2026-09-20 20:22:28,23141
Exide Care - Paul Battery,Car and Bike Battery Dealer,Car battery store,"Car battery store, Battery Wholesaler, Battery Store",741103,West Bengal Circle,Kolkata Region,Nadia North Division,"Ghurni SO, Berij BO, Bhanderkhola BO",+91 80 6982 8097,https://stores.exidecare.com/exide-care-paul-battery-battery-store-andul-howrah-188659/Home?utm_source=locator&utm_medium=googleplaces,4.0,,"116/4, Andul Rd, near Naraina Super Speciality Hospital, Shibpur, Howrah, West Bengal 711103",Shibpur,22.562101,88.306001,ChIJxSPHw8p5AjoRAKR1xRLI-a8,https://www.google.com/maps/place/?q=place_id:ChIJxSPHw8p5AjoRAKR1xRLI-a8,part_331,2026-09-20 20:22:28,23142
SAH BATTERY,Car and Bike Battery Dealer,Battery Store,Battery Store,741103,West Bengal Circle,Kolkata Region,Nadia North Division,"Ghurni SO, Berij BO, Bhanderkhola BO",+91 97332 00092,N/A,5.0,,"P34C+5J9 Check Post, Rishi Rd, Telipara, Jagijhora Barabak, West Bengal 735212",Telipara,26.7051332,89.0716782,ChIJA_PYPf2V4zkRFRJEdev1pAY,https://www.google.com/maps/place/?q=place_id:ChIJA_PYPf2V4zkRFRJEdev1pAY,part_331,2026-09-20 20:22:28,23143
Exide Care - Maya Battery & Electrical Works,Car and Bike Battery Dealer,Car battery store,"Car battery store, Battery Manufacturer, Battery Wholesaler, Battery Store, Electronics manufacturer",741103,West Bengal Circle,Kolkata Region,Nadia North Division,"Ghurni SO, Berij BO, Bhanderkhola BO",+91 80173 61317,N/A,4.5,,"3, Jadulal Mullick Rd, Malapara, Jorabagan, Kolkata, West Bengal 700006","Malapara, Jorabagan",22.587616399999998,88.3550398,ChIJw4eFm911AjoRRWE8MckKANw,https://www.google.com/maps/place/?q=place_id:ChIJw4eFm911AjoRRWE8MckKANw,part_331,2026-09-20 20:22:28,23144
Exide battery (piyush enterprise),Car and Bike Battery Dealer,Battery Wholesaler,Battery Wholesaler,741103,West Bengal Circle,Kolkata Region,Nadia North Division,"Ghurni SO, Berij BO, Bhanderkhola BO",+91 93318 85015,https://exide-battery-piyush.grexa.site/,5.0,,"41, Panchanantala Rd, Kadam Tala, Howrah, West Bengal 711101",Kadam Tala,22.5851434,88.3305784,ChIJLXacnsd3AjoRk_UtxDoWkqk,https://www.google.com/maps/place/?q=place_id:ChIJLXacnsd3AjoRk_UtxDoWkqk,part_331,2026-09-20 20:22:28,23145
SG Batteries,Car and Bike Battery Dealer,Battery Store,Battery Store,741103,West Bengal Circle,Kolkata Region,Nadia North Division,"Ghurni SO, Berij BO, Bhanderkhola BO",+91 81672 31918,https://www.tatagreenbattery.com/,5.0,,"Gopiballabpur, West Bengal 721506",741103,22.2062337,86.89202279999999,ChIJJQ4hHz2hHToRSQezVByHSRI,https://www.google.com/maps/place/?q=place_id:ChIJJQ4hHz2hHToRSQezVByHSRI,part_331,2026-09-20 20:22:28,23146
